AErathi Berserker	LEG:131
Advent of the Wurm	MM3:147
Adventure Awaits	ZNR:177
Adventurers' Guildhouse	LEG:245
Adventuring Gear	ZEN:195
Adventurous Impulse	IKO:142
Adverse Conditions	BFZ:54
Advice from the Fae	SHM:28
Advocate of the Beast	M14:164
Aegis Angel	W16:1
Aegis Automaton	AER:141
Aegis Turtle	JMP:138
Aegis of Honor	ODY:1
Aegis of the Gods	JOU:1
Aegis of the Heavens	M19:1
Aegis of the Meek	ICE:282
Aeolipile	ME2:202
Aeon Chronicler	PLC:32
Aerial Assault	M20:1
Aerial Caravan	MMQ:58
Aerial Engineer	M19:211
Aerial Formation	JOU:30
Aerial Guide	HOU:29
Aerial Maneuver	GTC:1
Aerial Modification	AER:1
Aerial Predation	RTR:113
Aerial Responder	KLD:2
Aerial Volley	ORI:168
Aerie Bowmasters	DTK:170
Aerie Mystics	CON:1
Aerie Ouphes	EVE:65
Aerie Worshippers	BNG:30
Aeromunculus	RNA:152
Aeronaut Admiral	AER:2
Aeronaut Tinkerer	MBP:118
Aesthir Glider	ME4:176
Aether Adept	M12:41
Aether Barrier	NEM:27
Aether Burst	ODY:60
Aether Charge	ONS:184
Aether Chaser	AER:76
Aether Figment	ZEN:40
Aether Flash	WTH:88
Aether Gale	C14:11
Aether Gust	M20:42
Aether Herder	AER:102
Aether Hub	KLD:242
Aether Inspector	AER:3
Aether Meltdown	KLD:36
Aether Membrane	PLC:93
Aether Mutation	VMA:241
Aether Poisoner	AER:51
Aether Rift	INV:227
Aether Searcher	CNS:53
Aether Shockwave	SOK:1
Aether Snap	DST:37
Aether Spellbomb	MRD:141
Aether Sting	UDS:76
Aether Storm	ME2:39
Aether Swooper	AER:26
Aether Theorist	KLD:37
Aether Tide	EXO:27
Aether Tradewinds	WWK:24
Aether Tunnel	M19:43
Aether Vial	V10:1
Aether Web	TSP:189
Aetherborn Marauder	KLD:71
Aetherflame Wall	TSP:142
Aetherflux Reservoir	KLD:192
Aethergeode Miner	AER:4
Aetherize	GTC:29
Aetherling	DGM:11
Aethermage's Touch	MM3:148
Aetherplasm	GPT:22
Aethershield Artificer	M19:2
Aethersnatch	C15:9
Aethersnipe	MMA:36
Aethersphere Harvester	AER:142
Aetherspouts	M15:44
Aethersquall Ancient	KLD:39
Aetherstorm Roc	KLD:3
Aetherstream Leopard	AER:103
Aethertide Whale	AER:27
Aethertorch Renegade	KLD:106
Aethertow	SHM:136
Aetherwind Basker	AER:104
Aetherworks Marvel	KLD:193
Affa Guard Hound	ROE:14
Affa Protector	OGW:14
Affectionate Indrik	JMP:373
Afflict	ODY:115
Afflicted Deserter	DKA:81
Afflicted Deserter // Werewolf Ransacker	DKA:81
Afiya Grove	MIR:103
Afterburn	SWS:600
Afterlife	VMA:10
Aftershock	VMA:149
Agadeem Occultist	WWK:48
Agadeem's Awakening	ZNR:90
Agadeem, the Undercrypt	ZNR:90
Ageless Entity	DST:73
Ageless Sentinels	SCG:1
Agent of Acquisitions	CNS:54
Agent of Erebos	JOU:59
Agent of Horizons	THS:148
Agent of Masks	MM3:149
Agent of Shauku	PCY:55
Agent of Stromgald	ALL:94
Agent of Treachery	M20:43
Agent of the Fates	THS:76
Aggravate	AVR:125
Aggravated Assault	ONS:185
Aggression	ICE:169
Aggressive Instinct	GS1:34
Aggressive Mammoth	M20:337
Aggressive Mining	M15:127
Aggressive Urge	RIX:122
Agility	MIR:154
Agonizing Demise	INV:92
Agonizing Memories	WTH:2
Agonizing Remorse	THB:83
Agonizing Syphon	M20:83
Agony Warp	MM3:150
Agoraphobia	GTC:30
Agrus Kos, Wojek Veteran	RAV:190
Ahn-Crop Champion	AKH:194
Ahn-Crop Crasher	AKH:117
Ahn-Crop Invader	WAR:113
Aid from the Cowl	AER:105
Aid the Fallen	WAR:76
Aim High	SOI:193
Ainok Artillerist	DTK:171
Ainok Bond-Kin	KTK:3
Ainok Guide	FRF:121
Ainok Survivalist	DTK:172
Ainok Tracker	UGIN:96
Air Bladder	NEM:28
Air Elemental	XLN:45
Air Servant	W16:4
Airborne Aid	ONS:62
Airdrop Aeronauts	AER:5
Airdrop Condor	ONS:186
Aisling Leprechaun	LEG:87
Ajani Goldmane	M11:1
Ajani Steadfast	MBP:99
Ajani Unyielding	AER:127
Ajani Vengeant	PPRE:38
Ajani's Aid	AER:188
Ajani's Chosen	M14:2
Ajani's Comrade	AER:187
Ajani's Influence	M19:282
Ajani's Last Stand	M19:4
Ajani's Mantra	M11:2
Ajani's Presence	JOU:2
Ajani's Pridemate	WAR:4
Ajani's Sunstriker	M13:2
Ajani's Welcome	M19:6
Ajani, Adversary of Tyrants	M19:3
Ajani, Caller of the Pride	MBP:72
Ajani, Inspiring Leader	M20:282
Ajani, Mentor of Heroes	JOU:145
Ajani, Strength of the Pride	M20:2
Ajani, Valiant Protector	AER:185
Ajani, Wise Counselor	M19:281
Ajani, the Greathearted	WAR:184
Akiri, Fearless Voyager	ZNR:220
Akiri, Line-Slinger	C16:26
Akki Avalanchers	CHK:151
Akki Blizzard-Herder	BOK:91
Akki Coalflinger	EVG:33
Akki Drillmaster	SOK:92
Akki Lavarunner	CHK:153
Akki Lavarunner // Tok-Tok, Volcano Born	CHK:153
Akki Raider	BOK:92
Akki Rockspeaker	CHK:154
Akki Underling	SOK:93
Akki Underminer	CHK:155
Akoum Battlesinger	WWK:71
Akoum Boulderfoot	ROE:134
Akoum Firebird	PPRE:238
Akoum Flameseeker	OGW:101
Akoum Hellhound	ZNR:133
Akoum Hellkite	PPRE:239
Akoum Refuge	ZEN:210
Akoum Stonewaker	BFZ:140
Akoum Teeth	ZNR:134
Akoum Warrior	ZNR:134
Akrasan Squire	ALA:1
Akroan Conscriptor	BNG:87
Akroan Crusader	THS:111
Akroan Hoplite	THS:185
Akroan Horse	THS:210
Akroan Jailer	ORI:1
Akroan Line Breaker	JOU:88
Akroan Mastiff	JOU:3
Akroan Phalanx	BNG:2
Akroan Sergeant	ORI:130
Akroan Skyguard	BNG:3
Akroma's Blessing	VMA:11
Akroma's Devoted	LGN:2
Akroma's Memorial	M13:200
Akroma's Vengeance	V13:11
Akroma, Angel of Fury	V15:1
Akroma, Angel of Wrath	V15:2
Akron Legionnaire	ME3:1
Aku Djinn	VIS:1
Akuta, Born of Ash	SOK:61
Al-abara's Carpet	ME4:177
Alabaster Dragon	WTH:118
Alabaster Kirin	KTK:4
Alabaster Leech	INV:1
Alabaster Mage	M12:2
Alabaster Potion	ME3:2
Alabaster Wall	MMQ:2
Alaborn Cavalier	P02:121
Alaborn Grenadier	P02:122
Alaborn Musketeer	P02:123
Alaborn Trooper	P02:124
Alaborn Veteran	P02:125
Alaborn Zealot	P02:126
Aladdin	ME4:106
Aladdin's Lamp	ARN:70
Aladdin's Ring	ARN:71
Alarum	MIR:206
Albino Troll	USG:231
Alchemist's Apprentice	AVR:42
Alchemist's Gift	M21:87
Alchemist's Greeting	EMN:116
Alchemist's Refuge	AVR:225
Alchemist's Vial	ORI:220
Alchor's Tomb	ME4:178
Aleatory	MIR:155
Alela, Artful Provocateur	ELD:324
Alena, Kessig Trapper	CMR:160
Alert Heedbonder	IKO:218
Alert Shu Infantry	PTK:1
Alesha's Vanguard	FRF:60
Alesha, Who Smiles at Death	PPRE:128
Alexi's Cloak	PCY:29
Alexi, Zephyr Mage	PCY:28
Algae Gharial	MM2:137
Alhammarret's Archive	ORI:221
Alhammarret, High Arbiter	PPRE:199
Ali Baba	ARN:43
Ali from Cairo	ME4:107
Aliban's Tower	HML:77
Aligned Hedron Network	PPRE:240
Alirios, Enraptured	THB:42
Alive	DGM:121
Alive // Well	DGM:121
All Hallow's Eve	ME3:57
All Is Dust	ROE:1
All Suns' Dawn	MM2:138
All That Glitters	ELD:2
Allay	EXO:1
Alley Evasion	AER:6
Alley Grifters	MMQ:115
Alley Strangler	AER:52
Alliance of Arms	CMD:4
Allied Assault	ZNR:1
Allied Reinforcements	OGW:15
Allied Strategies	PLS:20
Allosaurus Rider	PPRE:30
Allosaurus Shepherd	JMP:28
Alloy Golem	INV:297
Alloy Myr	NPH:129
Allure of the Unknown	THB:207
Alluring Scent	S99:124
Alluring Siren	M12:42
Ally Encampment	PPRE:241
Almighty Brushwagg	IKO:143
Alms	WTH:119
Alms Beast	GTC:141
Alms Collector	C17:1
Alms of the Vein	SOI:98
Alpha Authority	GTC:114
Alpha Brawl	DKA:82
Alpha Kavu	PLS:77
Alpha Myr	MRD:142
Alpha Status	SCG:110
Alpha Tyrranax	SOM:109
Alpine Grizzly	KTK:127
Alpine Guide	MH1:117
Alpine Houndmaster	M21:215
Alpine Moon	M19:128
Alpine Watchdog	M21:2
Alseid of Life's Bounty	THB:1
Altac Bloodseeker	M15:128
Altar Golem	EVE:166
Altar of Bone	ICE:359
Altar of Dementia	TMP:266
Altar of Shadows	MRD:143
Altar of the Brood	UGIN:216
Altar of the Lost	DKA:144
Altar of the Pantheon	THB:231
Altar's Light	MRD:1
Altar's Reap	M14:84
Alter Fate	ELD:99
Alter Reality	TOR:22
Altered Ego	SOI:241
Aluren	TPR:165
Always Watching	SOI:1
Amaranthine Wall	DOM:210
Amass the Components	AVR:43
Ambassador Laquatus	TOR:23
Ambassador Oak	MOR:113
Amber Prison	MIR:257
Ambition's Cost	PTK:67
Ambitious Aetherborn	KLD:72
Ambuscade	HOU:110
Ambuscade Shaman	DTK:87
Ambush	HML:78
Ambush Commander	SCG:111
Ambush Krotiq	FRF:122
Ambush Party	ME2:115
Ambush Viper	ISD:169
Ammit Eternal	HOU:57
Amnesia	MED:29
Amoeboid Changeling	LRW:51
Amoeboid Changling	H09:3
Amok	STH:76
Amorphous Axe	MH1:219
Amphibious Kavu	PLS:78
Amphin Cutthroat	M12:43
Amphin Pathmage	M15:45
Amplifire	RNA:92
Ampryn Tactician	ORI:2
Amrou Kithkin	ME3:3
Amrou Scout	TSP:1
Amrou Seekers	TSP:2
Amugaba	ODY:61
Amulet of Kroog	ME4:179
Amulet of Quoz	ICE:283
Amulet of Safekeeping	M19:226
Amulet of Unmaking	MIR:258
Amulet of Vigor	WWK:121
An-Havva Constable	HML:51
An-Havva Inn	HML:52
An-Havva Township	HML:136
An-Zerrin Ruins	ME2:117
Ana Battlemage	PLC:124
Ana Disciple	APC:73
Ana Sanctuary	APC:74
Anaba Ancestor	ME3:86
Anaba Bodyguard	HML:83
Anaba Shaman	HML:85
Anaba Spirit Crafter	ME3:87
Anaconda	USG:232
Anafenza, Kin-Tree Spirit	PPRE:158
Anafenza, the Foremost	PPRE:89
Anarchist	TPR:125
Anarchy	ME2:116
Anathemancer	FNMP:122
Anavolver	APC:75
Anax and Cymede	THS:186
Anax, Hardened in the Forge	THB:125
Ancestor Dragon	GS1:12
Ancestor's Chosen	JUD:1
Ancestor's Prophet	ONS:3
Ancestral Blade	M20:3
Ancestral Knowledge	WTH:32
Ancestral Mask	MMQ:229
Ancestral Memories	POR:41
Ancestral Recall	VMA:1
Ancestral Statue	JMP:458
Ancestral Tribute	ODY:2
Ancestral Vengeance	FRF:61
Ancestral Vision	TSP:48
Anchor to the Aether	ORI:44
Ancient Amphitheater	LRW:266
Ancient Animus	DOM:154
Ancient Brontodon	XLN:175
Ancient Carp	DTK:44
Ancient Crab	OGW:50
Ancient Craving	S99:64
Ancient Den	MRD:278
Ancient Excavation	C16:27
Ancient Greenwarden	ZNR:178
Ancient Grudge	TSP:143
Ancient Hellkite	MLP:11
Ancient Hydra	NEM:76
Ancient Kavu	INV:136
Ancient Ooze	SCG:112
Ancient Runes	TMP:161
Ancient Silverback	UDS:101
Ancient Spider	PLS:96
Ancient Spring	INV:319
Ancient Stirrings	ROE:174
Ancient Tomb	EXP:36
Ancient Ziggurat	H09:31
Ancient of the Equinox	SOI:194
Ancient of the Equinox // Autumnal Gloom	SOI:194
Andradite Leech	INV:93
Angel of Condemnation	HOU:3
Angel of Deliverance	SOI:2
Angel of Despair	GPT:101
Angel of Destiny	ZNR:2
Angel of Finality	CMA:3
Angel of Flight Alabaster	ISD:2
Angel of Fury	P02:108
Angel of Glory's Rise	MBP:59
Angel of Grace	RNA:1
Angel of Invention	KLD:4
Angel of Jubilation	AVR:2
Angel of Light	S99:1
Angel of Mercy	S99:2
Angel of Renewal	BFZ:18
Angel of Retribution	TOR:1
Angel of Salvation	FUT:1
Angel of Sanctions	AKH:1
Angel of Serenity	RTR:1
Angel of Vitality	M20:4
Angel of the Dawn	M19:7
Angel of the Dire Hour	JMP:85
Angel of the God-Pharaoh	HOU:4
Angel's Feather	M12:202
Angel's Grace	TSP:3
Angel's Herald	ALA:2
Angel's Mercy	M13:3
Angel's Tomb	ORI:222
Angel's Trumpet	ULG:121
Angelfire Crusader	APC:1
Angelheart Protector	ZNR:3
Angelheart Vial	ROE:215
Angelic Accord	M14:3
Angelic Arbiter	M11:4
Angelic Armaments	AVR:212
Angelic Ascension	M21:3
Angelic Benediction	M13:4
Angelic Blessing	TPR:1
Angelic Captain	PPRE:242
Angelic Chorus	USG:3
Angelic Curator	ULG:1
Angelic Destiny	M12:3
Angelic Edict	JMP:87
Angelic Exaltation	RNA:2
Angelic Favor	NEM:1
Angelic Field Marshal	C14:2
Angelic Gift	M20:5
Angelic Guardian	M20:302
Angelic Overseer	ISD:3
Angelic Page	USG:4
Angelic Protector	TPR:2
Angelic Purge	SOI:3
Angelic Renewal	WTH:120
Angelic Shield	INV:228
Angelic Skirmisher	MBP:90
Angelic Voices	ME4:3
Angelic Wall	P02:130
Angelsong	DVD:15
Anger	JUD:77
Anger of the Gods	THS:112
Angler Drake	AKH:41
Angrath's Ambusher	RIX:202
Angrath's Fury	RIX:204
Angrath's Marauders	XLN:132
Angrath's Rampage	WAR:185
Angrath, Captain of Chaos	WAR:227
Angrath, Minotaur Pirate	RIX:201
Angrath, the Flame-Chained	RIX:152
Angry Mob	MED:1
Anguished Unmaking	SOI:242
Angus Mackenzie	ME3:141
Animal Boneyard	ODY:4
Animal Magnetism	ONS:245
Animal Sanctuary	M21:385
Animar, Soul of Elements	CMD:181
Animate Artifact	ME4:38
Animate Dead	VMA:104
Animate Land	NEM:101
Animate Wall	MED:2
Animating Faerie	ELD:38
Animation Module	KLD:194
Animist's Awakening	ORI:169
Animus of Predation	CN2:60
Ankh of Mishra	VMA:263
Ankle Shanker	PPRE:90
Annex	ONS:63
Annihilate	INV:94
Annihilating Fire	RTR:85
Annul	USG:59
Anodet Lurker	5DN:101
Anoint	TPR:3
Anointed Chorister	M21:4
Anointed Deacon	XLN:89
Anointed Procession	AKH:2
Anointer Priest	AKH:3
Anointer of Champions	ORI:3
Anowon, the Ruin Sage	WWK:49
Anowon, the Ruin Thief	ZNC:1
Answered Prayers	MH1:2
Ant Queen	MM2:139
Antagonism	USG:173
Anthem of Rakdos	DIS:102
Anthousa, Setessan Hero	THS:149
Anthroplasm	ULG:25
Anti-Magic Aura	LEG:45
Anticipate	M20:45
Anticognition	ZNR:45
Antler Skulkin	EVE:167
Anurid Barkripper	JUD:104
Anurid Brushhopper	JUD:137
Anurid Murkdiver	ONS:124
Anurid Scavenger	TOR:119
Anurid Swarmsnapper	JUD:105
Anvil of Bogardan	VIS:141
Anvilwrought Raptor	THS:211
Anya, Merciless Angel	C15:41
Apathy	WTH:33
Apes of Rath	TMP:108
Apex Hawks	WWK:2
Apex of Power	M19:129
Aphemia, the Cacophony	THB:84
Aphetto Alchemist	ONS:64
Aphetto Dredging	ONS:125
Aphetto Exterminator	LGN:59
Aphetto Grifter	ONS:65
Aphetto Runecaster	SCG:28
Aphetto Vulture	ONS:126
Aphotic Wisps	SHM:55
Apocalypse	TMP:162
Apocalypse Chime	HML:126
Apocalypse Demon	HOU:58
Apocalypse Hydra	MM2:171
Apostle of Purifying Light	M20:6
Apostle's Blessing	NPH:2
Apothecary Geist	SOI:4
Apothecary Initiate	SHM:1
Appeal // Authority	HOU:152
Appetite for Brains	DDQ:51
Appetite for the Unnatural	KLD:141
Applied Biomancy	RNA:153
Apprentice Necromancer	UDS:51
Apprentice Sorcerer	P02:32
Apprentice Wizard	MED:30
Approach of the Second Sun	AKH:4
Aquamoeba	VMA:56
Aquamorph Entity	PLC:33
Aquastrand Spider	MM2:140
Aquatic Incursion	RIX:32
Aqueous Form	THS:39
Aquitect's Will	LRW:52
Aquus Steed	RTR:29
Araba Mothrider	SOK:2
Arachnogenesis	C15:32
Arachnoid	5DN:102
Arachnus Spinner	MM3:117
Arachnus Web	MM3:118
Aradara Express	KLD:195
Arahbo, Roar of the World	C17:35
Arashi, the Sky Asunder	SOK:121
Arashin Cleric	FRF:5
Arashin Foremost	PPRE:159
Arashin Sovereign	PPRE:160
Arashin War Beast	UGIN:123
Arasta of the Endless Web	THB:165
Arbalest Elite	M12:5
Arbiter of Knollridge	LRW:2
Arbiter of the Ideal	PPRE:74
Arbor Armament	JMP:376
Arbor Colossus	THS:150
Arbor Elf	WWK:95
Arborback Stomper	KLD:142
Arboreal Grazer	WAR:149
Arboretum Elemental	GRN:122
Arboria	ME3:113
Arc Blade	FUT:94
Arc Lightning	USG:174
Arc Mage	NEM:77
Arc Runner	M11:123
Arc Trail	SOM:81
Arc-Slogger	MRD:85
Arcades Sabboth	ME3:142
Arcades, the Strategist	M19:212
Arcane Adaptation	XLN:46
Arcane Artisan	BBD:33
Arcane Denial	MED:31
Arcane Encyclopedia	M19:227
Arcane Flight	DOM:43
Arcane Laboratory	USG:60
Arcane Lighthouse	C14:59
Arcane Melee	C13:29
Arcane Sanctum	MM3:228
Arcane Savant	CN2:27
Arcane Signet	ELD:331
Arcane Spyglass	DST:93
Arcane Teachings	JUD:78
Arcanis the Omnipotent	ONS:66
Arcanist's Owl	ELD:206
Arcanum Wings	FUT:48
Arcbond	PPRE:129
Arcbound Bruiser	DST:94
Arcbound Crusher	HOP:105
Arcbound Fiend	DST:96
Arcbound Hybrid	DST:97
Arcbound Lancer	DST:98
Arcbound Overseer	DST:99
Arcbound Ravager	MPS:31
Arcbound Reclaimer	DST:101
Arcbound Slith	HOP:106
Arcbound Stinger	MMA:199
Arcbound Wanderer	MMA:200
Arcbound Worker	MMA:201
Arch of Orazca	RIX:185
Archaeological Dig	INV:320
Archaeomancer	M14:43
Archaeomender	JMP:9
Archangel	VIS:101
Archangel Avacyn	SOI:5
Archangel Avacyn // Avacyn, the Purifier	SOI:5
Archangel of Strife	V15:3
Archangel of Thune	M14:5
Archangel of Tithes	ORI:4
Archangel's Light	DKA:1
Archdemon of Greed	PPRE:52
Archdemon of Greed // Ravenous Demon	PPRE:52
Archdemon of Paliano	CN2:39
Archdemon of Unx	ALA:64
Archers of Qarsi	FRF:124
Archers' Parapet	KTK:128
Archery Training	UDS:2
Archetype of Aggression	BNG:88
Archetype of Courage	BNG:4
Archetype of Endurance	BNG:116
Archetype of Finality	BNG:58
Archetype of Imagination	BNG:32
Archfiend of Depravity	PPRE:130
Archfiend of Despair	BBD:44
Archfiend of Ifnir	MBP:165
Archfiend's Vessel	M21:88
Archipelagore	IKO:41
Architect of the Untamed	KLD:143
Architects of Will	ARC:77
Archive Trap	ZEN:41
Archivist	ULG:26
Archmage Ascension	ZEN:42
Archmage's Charm	MH1:40
Archon of Absolution	ELD:3
Archon of Emeria	ZNR:4
Archon of Falling Stars	THB:2
Archon of Justice	M12:6
Archon of Redemption	WWK:3
Archon of Sun's Grace	THB:3
Archon of Valor's Reach	BBD:74
Archon of the Triumvirate	RTR:142
Archpriest of Iona	ZNR:5
Archway Angel	RNA:3
Archweaver	RTR:114
Archwing Dragon	AVR:126
Arclight Phoenix	GRN:91
Arctic Aven	M13:42
Arctic Flats	CSP:143
Arctic Foxes	ICE:226
Arctic Merfolk	PLS:21
Arctic Nishoba	CSP:102
Arctic Wolves	WTH:60
Arcum Dagsson	CSP:27
Arcum's Astrolabe	MH1:220
Arcum's Sleigh	ICE:284
Arcum's Weathervane	ICE:285
Arcum's Whistle	ICE:286
Ardent Electromancer	ZNR:135
Ardent Militia	WTH:121
Ardent Plea	ARB:1
Ardent Recruit	MBS:2
Ardent Soldier	INV:3
Ardenvale Paladin	ELD:4
Ardenvale Tactician	ELD:5
Arena	TSB:117
Arena Athlete	THS:113
Arena Rector	BBD:23
Arena Trickster	THB:126
Arena of the Ancients	ME3:188
Arenson's Aura	ICE:227
Argent Mutation	NPH:27
Argent Sphinx	SOM:28
Argentum Armor	SOM:137
Argivian Archaeologist	MED:3
Argivian Blacksmith	ME4:4
Argivian Find	WTH:122
Argivian Restoration	WTH:34
Argothian Elder	USG:233
Argothian Enchantress	USG:234
Argothian Pixies	ME4:142
Argothian Swine	USG:235
Argothian Treefolk	ME4:143
Argothian Wurm	USG:236
Arguel's Blood Fast	XLN:90
Arguel's Blood Fast // Temple of Aclazotz	XLN:90
Aria of Flame	MH1:118
Arid Mesa	EXP:24
Arisen Gorgon	M19:292
Arjun, the Shifting Flame	C15:42
Ark of Blight	SCG:140
Arlinn Kord	SOI:243
Arlinn Kord // Arlinn, Embraced by the Moon	SOI:243
Arlinn's Wolf	WAR:151
Arlinn, Embraced by the Moon	SOI:243
Arlinn, Embraced by the Moon // Arlinn Kord	SOI:243
Arlinn, Voice of the Pack	WAR:150
Arm with Aether	NPH:28
Armada Wurm	RTR:143
Armadillo Cloak	VMA:242
Armageddon	VMA:12
Armageddon Clock	ME4:180
Armament Corps	KTK:165
Armament Master	ZEN:1
Armament of Nyx	JOU:4
Armed	DGM:122
Armed // Dangerous	DGM:122
Armed Response	5DN:2
Armillary Sphere	PCA:108
Armistice	MMQ:3
Armor Sliver	TPR:4
Armor Thrull	ME2:77
Armor of Faith	ME2:4
Armor of Thorns	VMA:194
Armorcraft Judge	KLD:144
Armored Ascension	SHM:2
Armored Cancrix	M14:44
Armored Galleon	P02:33
Armored Griffin	PCA:1
Armored Guardian	INV:230
Armored Pegasus	TPR:5
Armored Skaab	ISD:43
Armored Transport	GTC:226
Armored Warhorse	M12:7
Armored Whirl Turtle	GS1:7
Armored Wolf-Rider	DGM:52
Armorer Guildmage	MIR:156
Armory Automaton	C16:51
Armory Guard	RTR:2
Armory of Iroas	JOU:158
Arms Dealer	MMQ:172
Army Ants	VIS:126
Army of Allah	ARN:56
Army of the Damned	ISD:87
Arnjlot's Ascent	ICE:57
Arrest	SOM:2
Arrester's Admonition	RNA:31
Arrester's Zeal	RNA:4
Arrogant Bloodlord	ROE:94
Arrogant Vampire	POR:1
Arrogant Wurm	VMA:195
Arrow Storm	KTK:98
Arrow Volley Trap	ZEN:2
Arrows of Justice	GTC:211
Arsenal Thresher	HOP:96
Arterial Flow	RIX:62
Artful Dodge	DKA:27
Artful Maneuver	DTK:4
Artful Takedown	GRN:151
Artifact Blast	MED:85
Artifact Mutation	INV:231
Artifact Possession	ATQ:45
Artifact Ward	ATQ:96
Artificer's Assistant	DOM:44
Artificer's Epiphany	ORI:45
Artificer's Hex	M14:85
Artificer's Intuition	5DN:23
Artificial Evolution	ONS:67
Artillerize	NPH:79
Artisan of Forms	THS:40
Artisan of Kozilek	ROE:2
Artisan's Sorrow	THS:151
Arvad the Cursed	DOM:191
Aryel, Knight of Windgrace	DOM:192
As Foretold	AKH:42
As Luck Would Have It	UST:102
Ascendant Evincar	NEM:51
Ascended Lawmage	DGM:53
Ascending Aven	ONS:68
Asceticism	SOM:110
Ash Barrens	C16:56
Ash Zealot	RTR:86
Asha's Favor	CON:2
Ashaya, Soul of the Wild	ZNR:179
Ashcloud Phoenix	KTK:99
Ashcoat Bear	TSP:190
Ashen Firebeast	ODY:174
Ashen Ghoul	ME2:78
Ashen Monstrosity	BOK:93
Ashen Powder	MIR:2
Ashen Rider	THS:187
Ashen-Skin Zubera	CHK:101
Ashenmoor Cohort	SHM:56
Ashenmoor Gouger	SHM:180
Ashenmoor Liege	SHM:181
Ashes of the Abhorrent	XLN:2
